Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-201 (2,2',3,3',4,5',6,6'-OcCB)",40186-71-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-189 (2,3,3',4,4',5,5'-HpCB)",39635-31-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-195 (2,2',3,3',4,4',5,6-OcCB)",52663-78-2,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-194 (2,2',3,3',4,4',5,5'-OcCB)",35694-08-7,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-206 (2,2',3,3',4,4',5,5',6-NoCB)",40186-72-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,PCB-209 (DeCB),2051-24-3,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,PCB-003 (4-CB),2051-62-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-008 (2,4'-DiCB)",34883-43-7,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-018 (2,2',5-TrCB)",37680-65-2,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-031 (2,4',5-TrCB)",16606-02-3,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-028 (2,4,4'-TrCB)",7012-37-5,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-033 (2,3',4'-TrCB)",38444-86-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-052 (2,2',5,5'-TeCB)",35693-99-3,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-049 (2,2',4,5'-TeCB)",41464-40-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-044 (2,2',3,5'-TeCB)",41464-39-5,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-037 (3,4,4'-TrCB)",38444-90-5,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-074 (2,4,4',5-TeCB)",32690-93-0,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-070 (2,3',4',5-TeCB)",32598-11-1,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-066 (2,3',4,4'-TeCB)",32598-10-0,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"PCB-095 (2,2',3,5',6-PeCB)",38379-99-6,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,PCB-056+060,41464-43-1/33025-41-1,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
