Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,alpha-BHC,319-84-6,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Hexachlorobenzene,118-74-1,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,beta-BHC,319-85-7,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,gamma-BHC,58-89-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,delta-BHC,319-86-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Heptachlor,76-44-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Aldrin,309-00-2,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Heptachlor epoxide,1024-57-3,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Oxychlordane,27304-13-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,gamma-Chlordane,5103-74-2,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"2,4'-DDE",3424-82-6,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Endosulfan I,959-98-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,alpha-Chlordane,5103-71-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,trans-Nonachlor,39765-80-5,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"4,4'-DDE",72-55-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,2.2,27,ng/g dry,NA
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Dieldrin,60-57-1,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,0.02,8,ng/g dry,NA
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"2,4'-DDD",53-19-0,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Endrin,72-20-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"1,1-Dichloro-2,2-bis(4-ethylphenyl) ethane",72-56-0,NA,5,10,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Endosulfan II,33213-65-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"4,4'-DDD",72-54-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,2,20,ng/g dry,NA
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"2,4'-DDT",789-02-6,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,cis-Nonachlor,5103-73-1,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Endrin aldehyde,7421-93-4,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Endosulfan sulfate,1031-07-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"4,4'-DDT",50-29-3,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,1,7,ng/g dry,NA
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Endrin ketone,53494-70-5,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Methoxychlor,72-43-5,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Mirex,2385-85-5,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,gamma-BHC,58-89-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,delta-BHC,319-86-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Heptachlor,76-44-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Aldrin,309-00-2,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Heptachlor epoxide,1024-57-3,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Oxychlordane,27304-13-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,gamma-Chlordane,5103-74-2,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,"2,4'-DDE",3424-82-6,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Endosulfan I,959-98-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,alpha-Chlordane,5103-71-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,trans-Nonachlor,39765-80-5,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,alpha-BHC,319-84-6,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Hexachlorobenzene,118-74-1,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,beta-BHC,319-85-7,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,"4,4'-DDE",72-55-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,2.2,27,ng/g dry,NA
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Dieldrin,60-57-1,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,0.02,8,ng/g dry,NA
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,"2,4'-DDD",53-19-0,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Endrin,72-20-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,"1,1-Dichloro-2,2-bis(4-ethylphenyl) ethane",72-56-0,NA,5,10,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Endosulfan II,33213-65-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,"4,4'-DDD",72-54-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,2,20,ng/g dry,NA
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,"2,4'-DDT",789-02-6,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,cis-Nonachlor,5103-73-1,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Endrin aldehyde,7421-93-4,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Endosulfan sulfate,1031-07-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,"4,4'-DDT",50-29-3,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,1,7,ng/g dry,NA
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Endrin ketone,53494-70-5,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Methoxychlor,72-43-5,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Mirex,2385-85-5,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,Endosulfan I,959-98-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,alpha-Chlordane,5103-71-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,trans-Nonachlor,39765-80-5,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,"4,4'-DDE",72-55-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,2.2,27,ng/g dry,NA
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,Dieldrin,60-57-1,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,0.02,8,ng/g dry,NA
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,"2,4'-DDD",53-19-0,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,"1,1-Dichloro-2,2-bis(4-ethylphenyl) ethane",72-56-0,NA,5,10,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,Endrin,72-20-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,Endosulfan II,33213-65-9,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,"4,4'-DDD",72-54-8,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,2,20,ng/g dry,NA
