Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Units,Era,Parameter,Result
Cape Small,L.CS01,S.CS01,1991.CS01,1991,0,%,1990s,Percent Sand,88.1
Cape Small,L.CS01,S.CS01,1991.CS01,1991,0,%,1990s,Percent Sand (Calculated),88.1
Cape Small,L.CS01,S.CS01,1991.CS01,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Cape Small,L.CS01,S.CS01,1991.CS01,1991,0,%,1990s,Percent Silt,10.7
Cape Small,L.CS01,S.CS01,1991.CS01,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS01,S.CS01,1991.CS01,1991,0,%,1990s,Percent Silt and Clay (Calculated),10.7
Cape Small,L.CS01,S.CS01,1991.CS01,1991,0,%,1990s,Percent Clay,1.2
Cape Small,L.CS01,S.CS01,1991.CS01,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS01,S.CS01,1991.CS01,1991,0,%,1990s,Percent Silt and Clay (Calculated),1.2
Cape Small,L.CS02,S.CS02,1991.CS02,1991,0,%,1990s,Percent Sand,87.1
Cape Small,L.CS02,S.CS02,1991.CS02,1991,0,%,1990s,Percent Sand (Calculated),87.1
Cape Small,L.CS02,S.CS02,1991.CS02,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Cape Small,L.CS02,S.CS02,1991.CS02,1991,0,%,1990s,Percent Silt,10.6
Cape Small,L.CS02,S.CS02,1991.CS02,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS02,S.CS02,1991.CS02,1991,0,%,1990s,Percent Silt and Clay (Calculated),10.6
Cape Small,L.CS02,S.CS02,1991.CS02,1991,0,%,1990s,Percent Clay,2.4
Cape Small,L.CS02,S.CS02,1991.CS02,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS02,S.CS02,1991.CS02,1991,0,%,1990s,Percent Silt and Clay (Calculated),2.4
Cape Small,L.CS03,S.CS03,1991.CS03,1991,0,%,1990s,Percent Sand,84.1
Cape Small,L.CS03,S.CS03,1991.CS03,1991,0,%,1990s,Percent Sand (Calculated),84.1
Cape Small,L.CS03,S.CS03,1991.CS03,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Cape Small,L.CS03,S.CS03,1991.CS03,1991,0,%,1990s,Percent Silt,13
Cape Small,L.CS03,S.CS03,1991.CS03,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS03,S.CS03,1991.CS03,1991,0,%,1990s,Percent Silt and Clay (Calculated),13
Cape Small,L.CS03,S.CS03,1991.CS03,1991,0,%,1990s,Percent Clay,2.9
Cape Small,L.CS03,S.CS03,1991.CS03,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS03,S.CS03,1991.CS03,1991,0,%,1990s,Percent Silt and Clay (Calculated),2.9
Cape Small,L.CS04Q,S.CS04,1991.CS04,1991,0,%,1990s,Percent Sand,29.9
Cape Small,L.CS04Q,S.CS04,1991.CS04,1991,0,%,1990s,Percent Sand (Calculated),29.9
Cape Small,L.CS04Q,S.CS04,1991.CS04,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Cape Small,L.CS04Q,S.CS04,1991.CS04,1991,0,%,1990s,Percent Silt,32.6
Cape Small,L.CS04Q,S.CS04,1991.CS04,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS04Q,S.CS04,1991.CS04,1991,0,%,1990s,Percent Silt and Clay (Calculated),32.6
Cape Small,L.CS04Q,S.CS04,1991.CS04,1991,0,%,1990s,Percent Clay,37.5
Cape Small,L.CS04Q,S.CS04,1991.CS04,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS04Q,S.CS04,1991.CS04,1991,0,%,1990s,Percent Silt and Clay (Calculated),37.5
Cape Small,L.CS05,S.CS05,1991.CS05,1991,0,%,1990s,Percent Sand,82.4
Cape Small,L.CS05,S.CS05,1991.CS05,1991,0,%,1990s,Percent Sand (Calculated),82.4
Cape Small,L.CS05,S.CS05,1991.CS05,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Cape Small,L.CS05,S.CS05,1991.CS05,1991,0,%,1990s,Percent Silt,12.7
Cape Small,L.CS05,S.CS05,1991.CS05,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS05,S.CS05,1991.CS05,1991,0,%,1990s,Percent Silt and Clay (Calculated),12.7
Cape Small,L.CS05,S.CS05,1991.CS05,1991,0,%,1990s,Percent Clay,4.9
Cape Small,L.CS05,S.CS05,1991.CS05,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS05,S.CS05,1991.CS05,1991,0,%,1990s,Percent Silt and Clay (Calculated),4.9
Cape Small,L.CS06,S.CS06,1991.CS06,1991,0,%,1990s,Percent Sand,65.9
Cape Small,L.CS06,S.CS06,1991.CS06,1991,0,%,1990s,Percent Sand (Calculated),65.9
Cape Small,L.CS06,S.CS06,1991.CS06,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
Cape Small,L.CS06,S.CS06,1991.CS06,1991,0,%,1990s,Percent Silt,21.6
Cape Small,L.CS06,S.CS06,1991.CS06,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS06,S.CS06,1991.CS06,1991,0,%,1990s,Percent Silt and Clay (Calculated),21.6
Cape Small,L.CS06,S.CS06,1991.CS06,1991,0,%,1990s,Percent Clay,12.5
Cape Small,L.CS06,S.CS06,1991.CS06,1991,0,%,1990s,Percent Sand (Calculated),0
Cape Small,L.CS06,S.CS06,1991.CS06,1991,0,%,1990s,Percent Silt and Clay (Calculated),12.5
Cape Small,L.CS07,S.CS07,1991.CS07,1991,0,%,1990s,Percent Sand,89.5
Cape Small,L.CS07,S.CS07,1991.CS07,1991,0,%,1990s,Percent Sand (Calculated),89.5
Cape Small,L.CS07,S.CS07,1991.CS07,1991,0,%,1990s,Percent Silt and Clay (Calculated),0
