Location,Substation,Lat_N,Long_W,UTM_Easting,UTM_Northing,Location Comment,Region
L.1013,S.1013,43.89158,-69.88325,429057,4860210,NA,East Bay
L.1015,S.1015,43.67263,-70.06257,414342,4836062,NA,Outer Bay
L.1016,S.1016,43.73896,-69.98106,421000,4843348,NA,East Bay
L.1017,S.1017,43.62474,-70.2038,402880,4830899,NA,Outer Bay
L.1019,S.1019,43.8486,-70.01569,418361,4855559,NA,West Bay
L.1021,S.1021,43.71211,-70.16395,406231,4840557,NA,Inner Bay
L.1022,S.1022,43.65064,-70.09286,411868,4833652,NA,Outer Bay
L.CS01,S.CS01,43.7111111111111,-69.9019444444444,427337,4840183,NA,Cape Small
L.CS01T,S.CS01T,43.714,-69.9075,426893,4840508,"Error made entering 2010 target location onto data sheet, so sample collected at different location from historical samples.",Cape Small
L.CS02,S.CS02,43.6936111111111,-69.9033333333333,427204,4838240,NA,Cape Small
L.CS02F,S.CS02F,43.69605,-69.9034333333333,427199,4838511,NA,Cape Small
L.CS02T,S.CS02T,43.696388,-69.903333,427208,4838549,"Error made entering target location onto data sheet,  so sample collected at different location from historical samples.",Cape Small
L.CS03,S.CS03,43.7019444444444,-69.88,429094,4839146,NA,Cape Small
L.CS03T,S.CS03T,43.6995,-69.8776667,429280,4838872,2010 sample collected a substantial distance from the original location,Cape Small
L.CS03X,S.CS03X,43.7003333333333,-69.84695,431756,4838939,NA,Cape Small
L.CS04,S.CS04,43.683583,-69.897916,427629,4837122,NA,Cape Small
L.CS05,S.CS05,43.67,-69.8841666666667,428721,4835601,NA,Cape Small
L.CS06,S.CS06,43.6416666666667,-69.86,430637,4832434,NA,Cape Small
L.CS06T,S.CS06T,43.6328333,-69.8645,430263,4831457,Sample collected far from nominal location,Outer Bay
L.CS07,S.CS07,43.6336111111111,-69.8302777777778,433025,4831515,"Field data sheet from 2000 appears to have a typo. Longitude was recorded as (38 D 59.798 M), 38D 49.798 M would be very close to the nominal position.  We use the nominal location.",Cape Small
L.EB01,S.EB01,43.7102777777778,-69.9733333333333,421585,4840155,NA,East Bay
L.EB02,S.EB02,43.7052777777778,-69.9375,424466,4839567,NA,East Bay
L.EB03,S.EB03,43.7463888888889,-69.9419444444444,424159,4844137,NA,East Bay
L.EB03T,S.EB03T,43.7475,-69.942333,424129,4844260,Sample collected far from nominal location,East Bay
L.EB03X,S.EB03X,43.7457333333333,-69.9564166666667,422993,4844077,NA,East Bay
L.EB04,S.EB04,43.728133,-69.907366,426921,4842078,NA,East Bay
L.EB05,S.EB05,43.771733,-69.93165,425020,4846942,NA,East Bay
L.EB05T,S.EB05T,43.772,-69.933167,424898,4846973,Sample collected slightly more than 100m from nominal location,East Bay
L.EB06,S.EB06,43.80835,-69.91745,426208,4850996,NA,East Bay
L.EB06A,S.EB06A,43.789833,-69.922833,425752,4848944,"Data sheet shows a site visit in 2002. Summaries of analyses from  the lab show they planned to generate data in 2003 based on 2002 samples from both EB06 and EB06A.  However, we have only two analyses, one of which matches NCA (2001) sample ME01-0102-A.",East Bay
L.EB06X,S.EB06X,43.8065166666667,-69.9202333333333,425982,4850795,NA,East Bay
L.EB07,S.EB07,43.866866,-69.900383,427651,4857480,NA,East Bay
L.EB08,S.EB08,43.813316,-69.8699,430038,4851506,NA,East Bay
L.EB08T,S.EB08T,43.817,-69.871,429954,4851916,2010 sample was collected a long way from target location.,East Bay
L.EB08X,S.EB08X,43.8425333333333,-69.8770666666667,429496,4854757,NA,East Bay
L.EB09,S.EB09,43.758783,-69.878183,429308,4845457,NA,East Bay
L.EB09Q,S.EB09Q,43.7588888888889,-69.8802777777778,429139,4845470,NA,East Bay
L.EB09X,S.EB09X,43.75865,-69.8796333333333,429191,4845443,NA,East Bay
L.EB10,S.EB10,43.7358333333333,-69.8833333333333,428866,4842912,2010 samples are very close by -- Probable rounding in recording of the locations.,East Bay
L.IB01,S.IB01,43.65495,-70.2441,399679,4834302,"This location, from the 2001 QAPP, differs from the location in the 1992 GERG report.  A typo in the Gerg Report replacing 4 seconds of arc with 44 appears lkely, since th eEGERG location is on land, or close to it.",Inner Bay
L.IB02,S.IB02,43.667683,-70.2259,401167,4835694,NA,Inner Bay
L.IB02X,S.IB02X,43.6863,-70.2492166666667,399319,4837790,NA,Inner Bay
