Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,TCDF (total),55722-27-5,1.7,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"2,3,7,8-Tetrachlorodibenzofuran",51207-31-9,1.72,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"1,2,3,7,8-Pentachlorodibenzofuran",57117-41-6,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"2,3,4,7,8-Pentachlorodibenzofuran",57117-31-4,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"1,2,3,4,7,8-Hexachlorodibenzofuran",70648-26-9,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"1,2,3,6,7,8-Hexachlorodibenzofuran",57117-44-9,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"2,3,4,6,7,8-Hexachlorodibenzofuran",60851-34-5,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"1,2,3,7,8,9-Hexachlorodibenzofuran",72918-21-9,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",67562-39-4,9.19,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",55673-89-7,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,Octachlorodibenzofuran,39001-02-0,20.8,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",1746-01-6,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",40321-76-4,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",39227-28-6,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",57653-85-7,1.48,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",19408-74-3,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",35822-46-9,20.6,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,Octachlorodibenzo-p-dioxin,3268-87-9,287.8,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"PCB-077 (3,3',4,4'-TeCB) (dioxin-like)",32598-13-3DL,9.61,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"PCB-126 (3,3',4,4',5-PeCB) (dioxin-like)",57465-28-8DL,1.42,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,"PCB-169 (3,3',4,4',5,5'-HxCB) (dioxin-like)",32774-16-6DL,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
East Bay,L.EB04,S.EB04,1994.EB04,1994,0,TCDF (total),55722-27-5,2.5,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
East Bay,L.EB04,S.EB04,1994.EB04,1994,0,"2,3,7,8-Tetrachlorodibenzofuran",51207-31-9,2.52,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
East Bay,L.EB04,S.EB04,1994.EB04,1994,0,"1,2,3,7,8-Pentachlorodibenzofuran",57117-41-6,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
East Bay,L.EB04,S.EB04,1994.EB04,1994,0,"2,3,4,7,8-Pentachlorodibenzofuran",57117-31-4,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
East Bay,L.EB04,S.EB04,1994.EB04,1994,0,"1,2,3,4,7,8-Hexachlorodibenzofuran",70648-26-9,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
East Bay,L.EB04,S.EB04,1994.EB04,1994,0,"1,2,3,6,7,8-Hexachlorodibenzofuran",57117-44-9,NA,NA,NA,ng/kg dry,0,ND,NA,Y,1990s,NA,NA,NA,"NA"
