Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Aluminum,7429-90-5,39870,1,5,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Antimony,7440-36-0,0.15,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Arsenic,7440-38-2,4.6,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,8.2,70,µg/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Barium,7440-39-3,230,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Beryllium,7440-41-7,1.96,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Cadmium,7440-43-9,0.32,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,1.2,9.6,µg/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Chromium (total),7440-47-3,38.6,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,81,370,µg/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Cobalt,7440-48-4,4.13,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Copper,7440-50-8,13.5,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,34,270,µg/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Iron,7439-89-6,16170,1,5,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Lead,7439-92-1,30.6,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,46.7,218,µg/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Manganese,7439-96-5,388,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Molybdenum,7439-98-7,1.4,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Nickel,7440-02-0,13.8,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,20.9,51.6,µg/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Selenium,7782-49-2,0.16,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Strontium,7440-24-6,112,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Thallium,7440-28-0,0.76,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Tin,7440-31-5,5.4,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Titanium,7440-32-6,1807,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Vanadium,7440-62-2,43.4,0.025,0.05,µg/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
