Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Naphthalene,91-20-3,3,1,5,ng/g dry,1,NA,J,Y,2010s,160,2100,ng/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,2-Methylnaphthalene,91-57-6,1.7,1,5,ng/g dry,1,NA,J,Y,2010s,70,670,ng/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,1-Methylnaphthalene,90-12-0,1.1,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"1,1-Biphenyl",92-52-4,NA,1,5,ng/g dry,0,ND,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"2,6-Dimethylnaphthalene",581-42-0,1.4,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Acenaphthylene,208-96-8,7.6,1,5,ng/g dry,1,NA,NA,Y,2010s,44,640,ng/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Acenaphthene,83-32-9,1.9,1,5,ng/g dry,1,NA,J,Y,2010s,16,500,ng/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"2,3,5-Trimethylnaphthalene",2245-38-7,1.7,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Fluorene,86-73-7,2.6,1,5,ng/g dry,1,NA,J,Y,2010s,19,540,ng/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Dibenzothiophene,132-65-0,3.2,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Phenanthrene,85-01-8,43.9,1,5,ng/g dry,1,NA,NA,Y,2010s,240,1500,ng/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Anthracene,120-12-7,10.1,1,5,ng/g dry,1,NA,NA,Y,2010s,85.3,1100,ng/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,1-Methylphenanthrene,832-69-9,8.5,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Fluoranthene,206-44-0,126.7,1,5,ng/g dry,1,NA,NA,Y,2010s,600,5100,ng/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Pyrene,129-00-0,116.8,1,5,ng/g dry,1,NA,NA,Y,2010s,665,2600,ng/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Benzo(a)anthracene,56-55-3,51.6,1,5,ng/g dry,1,NA,NA,Y,2010s,261,1600,ng/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Chrysene,218-01-9,74.8,1,5,ng/g dry,1,NA,NA,Y,2010s,384,2800,ng/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Benzo(b)fluoranthene,205-99-2,53.1,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Benzo(k)fluoranthene,207-08-9,33.4,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Benzo(e)pyrene,192-97-2,50.4,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Benzo(a)pyrene,50-32-8,68.9,1,5,ng/g dry,1,NA,NA,Y,2010s,430,1600,ng/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,Perylene,198-55-0,12.1,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"Indeno(1,2,3-cd)pyrene",193-39-5,42.8,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"Dibenz(a,h)anthracene",53-70-3,9.8,1,5,ng/g dry,1,NA,NA,Y,2010s,63.4,260,ng/g dry,Below ERL
Inner Bay,L.IB07ZT,S.IB07Z,CBEP2010-IB07Z,2010,0,"Benzo(g,h,i)perylene",191-24-2,39.5,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Naphthalene,91-20-3,6.9,1,5,ng/g dry,1,NA,NA,Y,2010s,160,2100,ng/g dry,Below ERL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,2-Methylnaphthalene,91-57-6,3.1,1,5,ng/g dry,1,NA,J,Y,2010s,70,670,ng/g dry,Below ERL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,1-Methylnaphthalene,90-12-0,1.6,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,"1,1-Biphenyl",92-52-4,1.8,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,"2,6-Dimethylnaphthalene",581-42-0,2,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Acenaphthylene,208-96-8,5.2,1,5,ng/g dry,1,NA,NA,Y,2010s,44,640,ng/g dry,Below ERL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Acenaphthene,83-32-9,2,1,5,ng/g dry,1,NA,J,Y,2010s,16,500,ng/g dry,Below ERL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,"2,3,5-Trimethylnaphthalene",2245-38-7,1.4,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Fluorene,86-73-7,2.2,1,5,ng/g dry,1,NA,J,Y,2010s,19,540,ng/g dry,Below ERL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Dibenzothiophene,132-65-0,2.3,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Phenanthrene,85-01-8,16,1,5,ng/g dry,1,NA,NA,Y,2010s,240,1500,ng/g dry,Below ERL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Anthracene,120-12-7,7.7,1,5,ng/g dry,1,NA,NA,Y,2010s,85.3,1100,ng/g dry,Below ERL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,1-Methylphenanthrene,832-69-9,2.9,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Fluoranthene,206-44-0,35.3,1,5,ng/g dry,1,NA,NA,Y,2010s,600,5100,ng/g dry,Below ERL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Pyrene,129-00-0,32.6,1,5,ng/g dry,1,NA,NA,Y,2010s,665,2600,ng/g dry,Below ERL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Benzo(a)anthracene,56-55-3,24.4,1,5,ng/g dry,1,NA,NA,Y,2010s,261,1600,ng/g dry,Below ERL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Chrysene,218-01-9,26.8,1,5,ng/g dry,1,NA,NA,Y,2010s,384,2800,ng/g dry,Below ERL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Benzo(b)fluoranthene,205-99-2,18.2,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Benzo(k)fluoranthene,207-08-9,11.7,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Benzo(e)pyrene,192-97-2,18.6,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Benzo(a)pyrene,50-32-8,30.9,1,5,ng/g dry,1,NA,NA,Y,2010s,430,1600,ng/g dry,Below ERL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,Perylene,198-55-0,5.5,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,"Indeno(1,2,3-cd)pyrene",193-39-5,15,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,"Dibenz(a,h)anthracene",53-70-3,2.6,1,5,ng/g dry,1,NA,J,Y,2010s,63.4,260,ng/g dry,Below ERL
Inner Bay,L.IB06,S.IB06,CBEP2010-IB06,2010,0,"Benzo(g,h,i)perylene",191-24-2,16.1,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,Naphthalene,91-20-3,6.2,1,5,ng/g dry,1,NA,NA,Y,2010s,160,2100,ng/g dry,Below ERL
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,2-Methylnaphthalene,91-57-6,2.1,1,5,ng/g dry,1,NA,J,Y,2010s,70,670,ng/g dry,Below ERL
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,1-Methylnaphthalene,90-12-0,1.7,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,"1,1-Biphenyl",92-52-4,1,1,5,ng/g dry,1,NA,NA,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,"2,6-Dimethylnaphthalene",581-42-0,1.8,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,Acenaphthylene,208-96-8,2.9,1,5,ng/g dry,1,NA,J,Y,2010s,44,640,ng/g dry,Below ERL
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,Acenaphthene,83-32-9,1.7,1,5,ng/g dry,1,NA,J,Y,2010s,16,500,ng/g dry,Below ERL
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,"2,3,5-Trimethylnaphthalene",2245-38-7,1.1,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,Fluorene,86-73-7,2.6,1,5,ng/g dry,1,NA,J,Y,2010s,19,540,ng/g dry,Below ERL
Inner Bay,L.IB03T,S.IB03,CBEP2010-IB03,2010,0,Dibenzothiophene,132-65-0,2,1,5,ng/g dry,1,NA,J,Y,2010s,NA,NA,NA,"NA"
