Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Cape Small,L.CS04,S.CS04,1994.CS04,1994,0,CDD/CDF (total),CDD/CDF-TOTAL,341.59,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,2001.CS04,2001,0,CDD/CDF (total),CDD/CDF-TOTAL,367.4,NA,NA,ng/kg dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB04,S.EB04,1994.EB04,1994,0,CDD/CDF (total),CDD/CDF-TOTAL,724.79,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
East Bay,L.EB04,S.EB04,2001.EB04,2001,0,CDD/CDF (total),CDD/CDF-TOTAL,744.1,NA,NA,ng/kg dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB05,S.EB05,2001.EB05,2001,0,CDD/CDF (total),CDD/CDF-TOTAL,555.7,NA,NA,ng/kg dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB06,S.EB06,1994.EB06,1994,0,CDD/CDF (total),CDD/CDF-TOTAL,2412.82,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
East Bay,L.EB06,S.EB06,2001.EB06,2002,0,CDD/CDF (total),CDD/CDF-TOTAL,2547.2,NA,NA,ng/kg dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB06X,S.EB06X,2001.EB06.R,2001,0,CDD/CDF (total),CDD/CDF-TOTAL,1909.6,NA,NA,ng/kg dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB07,S.EB07,1994.EB07,1994,0,CDD/CDF (total),CDD/CDF-TOTAL,1607.47,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
East Bay,L.EB07,S.EB07,2001.EB07,2002,0,CDD/CDF (total),CDD/CDF-TOTAL,1740.7,NA,NA,ng/kg dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB08,S.EB08,2001.EB08,2001,0,CDD/CDF (total),CDD/CDF-TOTAL,2562.1,NA,NA,ng/kg dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB09,S.EB09,1994.EB09,1994,0,CDD/CDF (total),CDD/CDF-TOTAL,2765.16,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
East Bay,L.EB09X,S.EB09X,2001.EB09,2001,0,CDD/CDF (total),CDD/CDF-TOTAL,2741.2,NA,NA,ng/kg dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB01,S.IB01,1994.IB01,1994,0,CDD/CDF (total),CDD/CDF-TOTAL,2823.57,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB01,S.IB01,2001.IB01,2001,0,CDD/CDF (total),CDD/CDF-TOTAL,2418.5,NA,NA,ng/kg dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB02,S.IB02,1994.IB02,1994,0,CDD/CDF (total),CDD/CDF-TOTAL,2630.62,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB02,S.IB02,2001.IB02,2001,0,CDD/CDF (total),CDD/CDF-TOTAL,2612.5,NA,NA,ng/kg dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB03,S.IB03,1994.IB03,1994,0,CDD/CDF (total),CDD/CDF-TOTAL,2081.91,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB04,S.IB04,1994.IB04,1994,0,CDD/CDF (total),CDD/CDF-TOTAL,1562.02,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB04,S.IB04,2001.IB04,2001,0,CDD/CDF (total),CDD/CDF-TOTAL,2033.6,NA,NA,ng/kg dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,1994.IB06,1994,0,CDD/CDF (total),CDD/CDF-TOTAL,1034.38,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB06,S.IB06,2001.IB06,2001,0,CDD/CDF (total),CDD/CDF-TOTAL,1519.4,NA,NA,ng/kg dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB07,S.IB07,1994.IB07,1994,0,CDD/CDF (total),CDD/CDF-TOTAL,1644.75,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Inner Bay,L.IB07,S.IB07,2001.IB07,2001,0,CDD/CDF (total),CDD/CDF-TOTAL,1977.6,NA,NA,ng/kg dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.IB07Z,S.IB07Z,1994.IB07Z,1994,0,CDD/CDF (total),CDD/CDF-TOTAL,900.92,NA,NA,ng/kg dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
